KIR3DL3	KIR2DS2	KIR2DL2	KIR2DL3	KIR2DP1	KIR2DL1	KIR3DP1	KIR2DL4	KIR3DL1	KIR3DS1	KIR2DL5	KIR2DS3	KIR2DS5	KIR2DS4	KIR2DS1	KIR3DL2
cA01~tA01	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	1
cA01~tB01_2DS5	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1
cA01~tB01_2DS3	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1
cB02~tA01	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1
cB01~tA01_2DS3	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1
cB01~tA01_2DS5	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1
cB01~tB01_2DS3_2DS5	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1
cB01~tB01_2DS3_2DS3	1	1	1	0	1	1	1	1	0	1	1	2	0	0	1	1
cB02~tB01_2DS5	1	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1
cB02~tB01_2DS3	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1
cB04~tB03_2DS5	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1
cB04~tB03_2DS3	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	1
cB01~tB05	1	1	1	0	1	1	2	2	1	1	1	1	0	1	0	1
cB05~tB01	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	1
cA01~tB05	1	0	0	1	1	1	2	2	1	1	0	0	0	1	0	1
cB05~tA01	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1
