X3DL3	X2DS2	X2DL2	X2DL3	X2DP1	X2DL1	X3DP1	X2DL4	X3DL1	X3DS1	X2DL5	X2DS3	X2DS5	X2DS4	X2DS1	X3DL2
1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	1
3	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1
4	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1
6	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1
7/24	1	1	1	0	1	1	1	1	0	1	2	1	1	0	1	1
8/19	1	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1
9	1	1	1	0	1	1	1	1	0	1	2	2	0	0	1	1
11	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1
12	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1
13	1	1	1	0	1	1	2	2	1	1	1	1	0	1	0	1
14	1	0	0	1	2	2	2	2	0	2	2	1	1	0	1	1
15	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	1
16	1	0	0	1	1	1	2	2	1	1	0	0	0	1	0	1
17	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1
18	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1
21	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1
22	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
23	1	0	0	1	2	2	2	2	1	1	1	1	0	1	0	1
